variable,x,y
Surface.Temperature.Max,22.60859230995178,0.09571527689695358
Surface.Temperature.Max,22.696072303771974,0.09883957356214523
Surface.Temperature.Max,22.783552297592163,0.10206005722284317
Surface.Temperature.Max,22.871032291412355,0.10537921637296677
Surface.Temperature.Max,22.958512285232544,0.10879957675933838
Surface.Temperature.Max,23.045992279052733,0.11232390999794006
Surface.Temperature.Max,23.133472272872925,0.11595481634140015
Surface.Temperature.Max,23.220952266693114,0.11969500780105591
Surface.Temperature.Max,23.308432260513307,0.12354712188243866
Surface.Temperature.Max,23.395912254333496,0.12751410901546478
Surface.Temperature.Max,23.483392248153688,0.13159865140914917
Surface.Temperature.Max,23.570872241973877,0.13580350577831268
Surface.Temperature.Max,23.658352235794066,0.14013168215751648
Surface.Temperature.Max,23.74583222961426,0.14458593726158142
Surface.Temperature.Max,23.833312223434447,0.14916914701461792
Surface.Temperature.Max,23.92079221725464,0.15388406813144684
Surface.Temperature.Max,24.00827221107483,0.1587338149547577
Surface.Temperature.Max,24.09575220489502,0.16372112929821014
Surface.Temperature.Max,24.18323219871521,0.16884879767894745
Surface.Temperature.Max,24.2707121925354,0.17411990463733673
Surface.Temperature.Max,24.35819218635559,0.17953714728355408
Surface.Temperature.Max,24.44567218017578,0.1851033717393875
Surface.Temperature.Max,24.533152173995973,0.19082121551036835
Surface.Temperature.Max,24.62063216781616,0.19669367372989655
Surface.Temperature.Max,24.708112161636354,0.20272330939769745
Surface.Temperature.Max,24.795592155456543,0.20891261100769043
Surface.Temperature.Max,24.88307214927673,0.21526440978050232
Surface.Temperature.Max,24.970552143096924,0.22178104519844055
Surface.Temperature.Max,25.058032136917113,0.22846493124961853
Surface.Temperature.Max,25.145512130737306,0.23531819880008698
Surface.Temperature.Max,25.232992124557494,0.24234332144260406
Surface.Temperature.Max,25.320472118377687,0.2495422065258026
Surface.Temperature.Max,25.407952112197876,0.2569166123867035
Surface.Temperature.Max,25.495432106018065,0.26446864008903503
Surface.Temperature.Max,25.582912099838257,0.27219969034194946
Surface.Temperature.Max,25.670392093658446,0.2801111936569214
Surface.Temperature.Max,25.75787208747864,0.28820422291755676
Surface.Temperature.Max,25.845352081298827,0.29648008942604065
Surface.Temperature.Max,25.93283207511902,0.3049394488334656
Surface.Temperature.Max,26.02031206893921,0.3135825991630554
Surface.Temperature.Max,26.1077920627594,0.3224101662635803
Surface.Temperature.Max,26.19527205657959,0.33142200112342834
Surface.Temperature.Max,26.28275205039978,0.34061774611473083
Surface.Temperature.Max,26.37023204421997,0.34999653697013855
Surface.Temperature.Max,26.45771203804016,0.3595578670501709
Surface.Temperature.Max,26.545192031860353,0.36930012702941895
Surface.Temperature.Max,26.63267202568054,0.3792214095592499
Surface.Temperature.Max,26.72015201950073,0.3893200159072876
Surface.Temperature.Max,26.80763201332092,0.39959317445755005
Surface.Temperature.Max,26.895112007141115,0.41003772616386414
Surface.Temperature.Max,26.982592000961304,0.4206506609916687
Surface.Temperature.Max,27.070071994781493,0.43142783641815186
Surface.Temperature.Max,27.157551988601682,0.4423648416996002
Surface.Temperature.Max,27.245031982421878,0.4534565210342407
Surface.Temperature.Max,27.332511976242067,0.464697927236557
Surface.Temperature.Max,27.419991970062256,0.47608283162117004
Surface.Temperature.Max,27.507471963882445,0.48760440945625305
Surface.Temperature.Max,27.594951957702634,0.49925604462623596
Surface.Temperature.Max,27.68243195152283,0.5110297799110413
Surface.Temperature.Max,27.76991194534302,0.5229173302650452
Surface.Temperature.Max,27.857391939163207,0.5349096059799194
Surface.Temperature.Max,27.944871932983396,0.5469975471496582
Surface.Temperature.Max,28.032351926803592,0.5591708421707153
Surface.Temperature.Max,28.11983192062378,0.5714185237884521
Surface.Temperature.Max,28.20731191444397,0.5837299227714539
Surface.Temperature.Max,28.29479190826416,0.5960928201675415
Surface.Temperature.Max,28.382271902084348,0.6084948182106018
Surface.Temperature.Max,28.469751895904544,0.6209226250648499
Surface.Temperature.Max,28.557231889724733,0.6333632469177246
Surface.Temperature.Max,28.64471188354492,0.6458024382591248
Surface.Temperature.Max,28.73219187736511,0.6582253575325012
Surface.Temperature.Max,28.8196718711853,0.6706176400184631
Surface.Temperature.Max,28.907151865005495,0.6829636693000793
Surface.Temperature.Max,28.994631858825684,0.6952476501464844
Surface.Temperature.Max,29.082111852645873,0.7074533700942993
Surface.Temperature.Max,29.169591846466062,0.7195651531219482
Surface.Temperature.Max,29.257071840286258,0.7315661907196045
Surface.Temperature.Max,29.344551834106447,0.7434396743774414
Surface.Temperature.Max,29.432031827926636,0.7551695704460144
Surface.Temperature.Max,29.519511821746825,0.7667389512062073
Surface.Temperature.Max,29.606991815567014,0.7781314253807068
Surface.Temperature.Max,29.69447180938721,0.7893304824829102
Surface.Temperature.Max,29.7819518032074,0.8003205060958862
Surface.Temperature.Max,29.869431797027588,0.8110857605934143
Surface.Temperature.Max,29.956911790847776,0.8216108083724976
Surface.Temperature.Max,30.044391784667965,0.831881582736969
Surface.Temperature.Max,30.13187177848816,0.8418838381767273
Surface.Temperature.Max,30.21935177230835,0.8516044616699219
Surface.Temperature.Max,30.30683176612854,0.8610309362411499
Surface.Temperature.Max,30.394311759948728,0.8701523542404175
Surface.Temperature.Max,30.481791753768924,0.8789580464363098
Surface.Temperature.Max,30.569271747589113,0.8874385952949524
Surface.Temperature.Max,30.656751741409302,0.8955864310264587
Surface.Temperature.Max,30.74423173522949,0.9033945202827454
Surface.Temperature.Max,30.83171172904968,0.9108572006225586
Surface.Temperature.Max,30.919191722869876,0.9179707169532776
Surface.Temperature.Max,31.006671716690064,0.9247322082519531
Surface.Temperature.Max,31.094151710510253,0.9311404824256897
Surface.Temperature.Max,31.181631704330442,0.9371955394744873
Surface.Temperature.Max,31.26911169815064,0.9428993463516235
Surface.Temperature.Max,31.356591691970827,0.9482548832893372
Surface.Temperature.Max,31.444071685791016,0.9532666802406311
Surface.Temperature.Max,31.531551679611205,0.9579407572746277
Surface.Temperature.Max,31.619031673431394,0.9622843265533447
Surface.Temperature.Max,31.70651166725159,0.9663059115409851
Surface.Temperature.Max,31.79399166107178,0.9700151085853577
Surface.Temperature.Max,31.881471654891968,0.9734229445457458
Surface.Temperature.Max,31.968951648712157,0.9765409827232361
Surface.Temperature.Max,32.056431642532345,0.9793818593025208
Surface.Temperature.Max,32.14391163635254,0.9819591045379639
Surface.Temperature.Max,32.23139163017273,0.9842864871025085
Surface.Temperature.Max,32.31887162399292,0.9863784313201904
Surface.Temperature.Max,32.40635161781311,0.9882498979568481
Surface.Temperature.Max,32.493831611633304,0.9899155497550964
Surface.Temperature.Max,32.58131160545349,0.9913904666900635
Surface.Temperature.Max,32.66879159927368,0.9926896095275879
Surface.Temperature.Max,32.75627159309387,0.9938275218009949
Surface.Temperature.Max,32.84375158691406,0.9948185086250305
Surface.Temperature.Max,32.931231580734256,0.995676577091217
Surface.Temperature.Max,33.018711574554445,0.9964148998260498
Surface.Temperature.Max,33.10619156837463,0.9970462322235107
Surface.Temperature.Max,33.19367156219482,0.9975825548171997
Surface.Temperature.Max,33.28115155601501,0.9980350732803345
Surface.Temperature.Max,33.36863154983521,0.9984142780303955
Surface.Temperature.Max,33.456111543655396,0.9987296462059021
Surface.Temperature.Max,33.543591537475585,0.9989900588989258
Surface.Temperature.Max,33.631071531295774,0.9992033839225769
Surface.Temperature.Max,33.71855152511597,0.9993767738342285
Surface.Temperature.Max,33.80603151893616,0.999516487121582
Surface.Temperature.Max,33.89351151275635,0.9996281862258911
